doj,srcid,destid,final_seatcount
2023-03-01,45,46,2838.0
2023-03-01,46,45,2298.0
2023-03-01,45,47,2720.0
2023-03-01,47,45,2580.0
2023-03-01,46,9,4185.0
2023-03-01,9,46,3273.0
2023-03-01,46,48,4959.0
2023-03-01,48,46,3378.0
2023-03-01,45,9,2769.0
2023-03-01,9,45,2187.0
2023-03-01,47,5,1872.0
2023-03-01,5,47,1332.0
2023-03-01,46,44,1640.0
2023-03-01,46,35,2588.0
2023-03-01,45,28,1040.0
2023-03-01,35,46,1228.0
2023-03-01,44,46,1060.0
2023-03-01,2,40,1436.0
2023-03-01,11,36,1288.0
2023-03-01,19,32,1304.0
2023-03-01,36,11,1996.0
2023-03-01,28,45,840.0
2023-03-01,2,30,1976.0
2023-03-01,40,2,1328.0
2023-03-01,30,2,1608.0
2023-03-01,32,19,1008.0
2023-03-01,12,36,1128.0
2023-03-01,47,43,1272.0
2023-03-01,13,23,1356.0
2023-03-01,36,7,832.0
2023-03-01,43,47,1028.0
2023-03-01,7,36,680.0
2023-03-01,36,12,972.0
2023-03-01,46,18,1648.0
2023-03-01,18,46,1240.0
2023-03-01,45,48,1576.0
2023-03-01,45,42,884.0
2023-03-01,23,25,884.0
2023-03-01,48,45,880.0
2023-03-01,42,45,968.0
2023-03-01,2,47,1485.0
2023-03-01,3,45,1316.0
2023-03-01,46,15,1344.0
2023-03-01,45,34,785.0
2023-03-01,47,2,1185.0
2023-03-01,34,45,725.0
2023-03-01,47,28,1465.0
2023-03-01,45,3,1176.0
2023-03-01,47,46,1285.0
2023-03-01,2,16,1395.0
2023-03-01,25,23,564.0
2023-03-01,46,26,1355.0
2023-03-01,36,27,1432.0
2023-03-01,16,2,980.0
2023-03-01,23,13,1415.0
2023-03-01,2,31,1920.0
2023-03-01,26,46,1120.0
2023-03-01,31,2,1552.0
2023-03-01,15,46,1104.0
2023-03-01,30,14,1196.0
2023-03-01,2,19,1545.0
2023-03-01,28,47,1155.0
2023-03-01,47,3,1040.0
2023-03-01,45,5,1170.0
2023-03-01,36,37,189.0
2023-03-01,46,47,1510.0
2023-03-01,5,45,1205.0
2023-03-01,46,20,1110.0
2023-03-01,3,47,1155.0
2023-03-01,20,46,1220.0
2023-03-01,19,2,1075.0
2023-03-01,27,36,1275.0
2023-03-01,14,30,1490.0
2023-03-01,45,39,1084.0
2023-03-01,39,45,812.0
2023-03-01,36,41,2252.0
2023-03-01,2,21,1055.0
2023-03-01,8,47,910.0
2023-03-01,47,6,1140.0
2023-03-01,41,36,1832.0
2023-03-01,2,1,910.0
2023-03-01,37,36,96.0
2023-03-01,47,30,1720.0
2023-03-01,47,8,1125.0
2023-03-01,22,36,875.0
2023-03-01,6,47,1080.0
2023-03-01,46,33,1045.0
2023-03-01,45,44,1175.0
2023-03-01,33,46,595.0
2023-03-01,21,2,920.0
2023-03-01,36,22,680.0
2023-03-01,2,14,1090.0
2023-03-01,1,2,1115.0
2023-03-01,17,23,1050.0
2023-03-01,4,29,970.0
2023-03-01,2,24,935.0
2023-03-01,44,45,770.0
2023-03-01,47,10,895.0
2023-03-01,38,36,785.0
2023-03-01,19,30,1065.0
2023-03-02,45,46,3392.0
2023-03-02,46,45,2376.0
2023-03-02,45,47,2996.0
2023-03-02,47,45,2682.0
2023-03-02,46,9,5148.0
2023-03-02,9,46,3132.0
2023-03-02,46,48,6078.0
2023-03-02,48,46,3429.0
2023-03-02,45,9,3000.0
2023-03-02,9,45,1854.0
2023-03-02,47,5,1980.0
2023-03-02,5,47,1368.0
2023-03-02,46,44,2344.0
2023-03-02,46,35,3356.0
2023-03-02,45,28,1404.0
2023-03-02,35,46,1304.0
2023-03-02,44,46,1000.0
2023-03-02,2,40,1832.0
2023-03-02,11,36,1544.0
2023-03-02,19,32,1796.0
2023-03-02,36,11,2288.0
2023-03-02,28,45,744.0
2023-03-02,2,30,1980.0
2023-03-02,40,2,1288.0
2023-03-02,30,2,1368.0
2023-03-02,32,19,1008.0
2023-03-02,12,36,1284.0
2023-03-02,47,43,1572.0
2023-03-02,13,23,1332.0
2023-03-02,36,7,948.0
2023-03-02,43,47,956.0
2023-03-02,7,36,700.0
2023-03-02,36,12,1060.0
2023-03-02,46,18,1712.0
2023-03-02,18,46,1284.0
2023-03-02,45,48,1952.0
2023-03-02,45,42,1464.0
2023-03-02,23,25,708.0
2023-03-02,48,45,1352.0
2023-03-02,42,45,1112.0
2023-03-02,2,47,1265.0
2023-03-02,3,45,1192.0
2023-03-02,46,15,1552.0
2023-03-02,45,34,1135.0
2023-03-02,47,2,1645.0
2023-03-02,34,45,775.0
2023-03-02,47,28,1245.0
2023-03-02,45,3,1656.0
2023-03-02,47,46,1335.0
2023-03-02,2,16,1155.0
2023-03-02,25,23,660.0
2023-03-02,46,26,1470.0
2023-03-02,36,27,1708.0
2023-03-02,16,2,1160.0
2023-03-02,23,13,1330.0
2023-03-02,2,31,1900.0
2023-03-02,26,46,1490.0
2023-03-02,31,2,1456.0
2023-03-02,15,46,948.0
2023-03-02,30,14,1512.0
2023-03-02,2,19,1855.0
2023-03-02,28,47,1015.0
2023-03-02,47,3,1085.0
2023-03-02,45,5,1390.0
2023-03-02,36,37,270.0
2023-03-02,46,47,1275.0
2023-03-02,5,45,905.0
2023-03-02,46,20,1735.0
2023-03-02,3,47,1050.0
2023-03-02,20,46,1185.0
2023-03-02,19,2,1070.0
2023-03-02,27,36,1010.0
2023-03-02,14,30,1480.0
2023-03-02,45,39,1920.0
2023-03-02,39,45,952.0
2023-03-02,36,41,2076.0
